央视频道,#genre#
CCTV-中视购物,https://epg.pw/stream/d40484d1159487726a163f6f8b454d3ccf6fc43aeb232c79bdda6ba8cd2f5c60.m3u8
CCTV-中视购物,https://epg.pw/stream/d40484d1159487726a163f6f8b454d3ccf6fc43aeb232c79bdda6ba8cd2f5c60.m3u8
CCTV-高尔夫.网球,https://epg.pw/stream/71898aa9f4eab7adc5a2d4a9d39f8427f4f0dc0eb7502a56bc0cd51d187312d2.m3u8
CCTV-高尔夫.网球,https://epg.pw/stream/71898aa9f4eab7adc5a2d4a9d39f8427f4f0dc0eb7502a56bc0cd51d187312d2.m3u8
CGTN-CGTN,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8#https://live.cgtn.com/1000/prog_index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225747/index.m3u8
CGTN-CGTN,http://39.135.138.58:18890/PLTV/88888888/224/3221225645/index.m3u8#https://live.cgtn.com/1000/prog_index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225747/index.m3u8

卫视频道,#genre#
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225704/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
浙江卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225703/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
江苏卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225702/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
北京卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225673/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225674/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
东方卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225658/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225659/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225691/index.m3u8
广东卫视,http://39.134.115.163:8080/PLTV/88888910/224/3221225701/index.m3u8
